SampleID,X,Y,Z,dist_fault,Lith_Schist,Lith_AndesiteTuff,slope,aspect,Pb,Cu,Zn,dist_to_Cu_hotspot,dist_to_Pb_hotspot,dist_to_Zn_hotspot,Cu_knn_mean,Cu_knn_std,Pb_knn_mean,Pb_knn_std,Zn_knn_mean,Zn_knn_std
158,532215.69,4418263.08,197,1061.380659,1,0,20.71281433,136.0050812,145,38,370,170.5040461,0,0,31.125,15.99560487,170,124.3483012,162.5,87.64274071
159,532177.57,4418292.33,211,1040.188613,1,0,31.30299568,108.4349518,435,45,205,134.9039804,0,0,32.75,15.311352,170.625,124.1832693,135.625,100.2633252
160,532139.07,4418321.97,247,1020.687324,1,0,13.33427525,117.0720825,300,65,100,109.1761672,0,48.60667807,54.5,34.57961827,330.625,440.6631189,126.875,103.5596899
161,532101.08,4418350.34,252,1002.911056,1,0,3.243489265,114.4439545,70,30,55,96.95226687,47.43247161,96.036569,130.375,157.4316816,398.125,461.8910687,92.5,61.79603547
162,532062.6,4418380.55,242,987.7537427,1,0,17.19956779,270,70,28,50,105.2709712,95.99199462,115.7287367,64.875,74.71351534,182.125,192.5398903,66.875,27.03441094
163,532024.24,4418408.21,233,973.3494007,1,0,18.98036194,264.522644,65,25,40,132.7864811,105.4555935,143.6454871,31.125,7.720710783,75.25,34.91686555,65.625,27.66286997
164,531986.77,4418436.37,227,962.062349,1,0,18.75582123,237.4074249,102,30,40,96.4454734,96.4454734,145.2864148,119.25,238.59419,220.875,374.7654058,58.125,27.49289681
165,531947.63,4418466.33,233,952.9714309,1,0,31.41609192,222.5104523,30,18,45,47.13949061,47.13949061,95.97963878,159.875,238.6333157,301.5,387.263799,74.375,56.59270602
166,531909.73,4418494.33,227,945.8060238,1,0,30.78035736,232.6789703,1200,750,110,0,0,48.84094634,215.125,229.5737558,292.125,391.1653862,83.75,52.60406353
167,531870.7,4418523.66,231,941.2162909,1,0,13.99501419,160.2011261,640,295,200,0,0,0,225.375,224.4292414,290.625,393.9974421,91.875,51.47435648
168,531832.76,4418552.83,235,939.690928,1,0,16.15747833,150.9454041,180,325,105,0,0,47.87597066,283.75,194.3860527,409.375,443.6456744,100,53.26818938
169,531792.99,4418582.77,250,940.185889,1,0,21.31320381,189.6887817,175,150,115,48.55308793,0,97.67409509,170,91.99184746,150.625,194.7664868,93.75,51.21950312
170,531754.26,4418612.02,257,943.277045,1,0,23.32221794,202.380127,45,185,70,0,48.55308793,102.2015335,144.125,88.24884914,89.375,59.97069597,88.75,35.85997072
171,531716.09,4418640.12,251,948.1121387,1,0,20.37666702,225,40,70,75,47.41625704,95.96754761,102.2330464,233.25,294.468483,78.75,47.94202228,93.125,27.71929608
172,531678.11,4418669.75,253,956.7360426,1,0,13.70589447,202.619873,35,48,110,95.59633115,97.9735893,116.4079078,236.125,313.3581966,66.875,60.04880827,84.375,17.03626646
173,531640.27,4418698.78,258,967.190686,1,0,11.19273281,185.4403381,30,78,100,106.2320606,106.2320606,145.3125333,109.375,120.9451709,55.625,60.69583491,81.25,26.42796814
